Time,X,Y,Z
8.078835,0.0983808,0.7102134,0.8813394
8.089945,0.09804976,0.7062023,0.8722382
8.101047,0.1018527,0.706476,0.8757865
8.112037,0.1099865,0.7083822,0.8923485
8.1235,0.1021765,0.7128973,0.8971379
8.134515,0.09347773,0.7159398,0.8983783
8.145703,0.09367514,0.7145132,0.8906795
8.156642,0.09422386,0.7137615,0.8882767
8.168084,0.09507716,0.7131346,0.8869069
8.17871,0.09439874,0.7131348,0.8862283
8.190095,0.09102559,0.7134795,0.8844174
8.201058,0.09262085,0.7134711,0.8857033
8.212065,0.09215236,0.7140731,0.8873663
8.223207,0.09050506,0.7146885,0.8881557
8.236055,0.09042937,0.7148917,0.888863
8.245309,0.09064323,0.7151603,0.8901762
8.256708,0.08880728,0.7156736,0.8906525
8.267645,0.08677197,0.7160411,0.8905557
8.278753,0.08630627,0.7157109,0.8888294
8.290054,0.08674192,0.7154376,0.8880523
8.301314,0.087331,0.7153539,0.8881442
8.312189,0.09095854,0.7140713,0.886328
8.323664,0.09028,0.7142691,0.8864411
8.334935,0.09043652,0.7131168,0.8829088
8.346025,0.08680689,0.712862,0.8800663
8.356367,0.0842126,0.7126676,0.8784406
8.367733,0.08495748,0.7119091,0.8768961
8.378744,0.08605611,0.7114412,0.8762652
8.389842,0.08922821,0.7115158,0.8779348
8.400979,0.08837861,0.7116634,0.8778449
8.412109,0.09372014,0.7091296,0.8751853
8.423053,0.09333104,0.7105824,0.8781986
8.434526,0.09485567,0.709249,0.8761871
8.445314,0.08989418,0.7106633,0.8763129
8.45645,0.0911094,0.7104779,0.8765749
8.468052,0.09058118,0.7107995,0.8769993
8.479287,0.09463549,0.7107689,0.8795961
8.489742,0.09573281,0.7102993,0.8792837
8.500963,0.09698111,0.7099267,0.8793757
8.512111,0.09635681,0.7096774,0.8782681
8.523284,0.0936383,0.7084661,0.873772
8.534174,0.09386235,0.7078876,0.8727486
8.545258,0.09660923,0.7073094,0.8733676
8.556581,0.1017899,0.7072311,0.8773459
8.567422,0.1012022,0.7075386,0.8774829
8.578629,0.09778857,0.7073613,0.8743016
8.589896,0.09809119,0.7070452,0.8738955
8.600843,0.097202,0.7073714,0.8738979
8.612096,0.09732789,0.7072313,0.8737073
8.623078,0.09675413,0.7072641,0.8733799
8.634221,0.09681082,0.7076771,0.8742375
8.645273,0.0970664,0.7076452,0.8743483
8.656566,0.09608841,0.7090976,0.8767306
8.667363,0.09544349,0.7086622,0.8753305
8.678456,0.09590179,0.7085634,0.8754389
8.689734,0.09297711,0.7083051,0.8730587
8.700835,0.09223807,0.7090421,0.8741169
8.711842,0.06555361,0.6991857,0.8556713
8.723137,-0.02088857,0.6017154,0.7668692
8.734114,-0.07150891,0.6017154,0.7438412
8.745136,-0.1311761,0.6790278,0.6136844
8.756454,-0.1616344,0.6929057,0.6064447
8.76805,-0.1606222,0.6903322,0.6037866
8.778495,-0.1616495,0.698878,0.6151809
8.789903,-0.1682231,0.7076328,0.6397085
8.800729,-0.1653756,0.7068279,0.636022
8.811994,-0.1638402,0.7051864,0.629488
8.823116,-0.1635032,0.7037347,0.6250392
8.834102,-0.1640925,0.703866,0.6251271
8.84518,-0.1633265,0.70333,0.6240156
8.856408,-0.1628881,0.7048324,0.6288267
8.869815,-0.1631059,0.7065428,0.6364487
8.878547,-0.1634569,0.7056099,0.6314039
8.889754,-0.161368,0.7065312,0.638779
8.90081,-0.1609166,0.70659,0.6402308
8.911702,-0.1616912,0.7068309,0.6411881
8.923006,-0.1603977,0.7066087,0.6418121
8.934054,-0.1604089,0.7065643,0.6412302
8.945929,-0.1599153,0.7063441,0.6399399
8.956288,-0.1615541,0.706751,0.6405657
8.967241,-0.163871,0.7069748,0.6386951
8.978489,-0.1649119,0.7070786,0.638247
8.989713,-0.1663832,0.706982,0.6361611
9.001075,-0.1654843,0.7066611,0.6349523
